
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=177.598 Mbyte     virtual=260.508 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=177.898 Mbyte     virtual=260.508 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=177.898 Mbyte     virtual=260.508 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=177.910 Mbyte     virtual=260.508 Mbyte     

  1. setup                                          : etime=00:00:00.6    ctime=00:00:00.5    rss= 30.543 Mbyte     virtual= 20.207 Mbyte     
     1. loading mesh                                : etime=00:00:00.2    ctime=00:00:00.2    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
     5. setup circuit components                    : etime=00:00:00.2    ctime=00:00:00.2    rss= 30.035 Mbyte     virtual= 20.004 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.2    ctime=00:00:00.2    rss= 30.012 Mbyte     virtual= 20.004 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.480 Mbyte     virtual= 19.805 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 29.898 Mbyte     virtual= 20.004 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.035 Mbyte     virtual= 20.004 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.035 Mbyte     virtual= 20.004 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.035 Mbyte     virtual= 20.004 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.2    ctime=00:00:00.4    rss= 52.848 Mbyte     virtual= 42.352 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 52.848 Mbyte     virtual= 42.352 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:03.0    ctime=00:00:06.8    rss=205.559 Mbyte     virtual=289.754 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:02.9    ctime=00:00:06.7    rss=204.906 Mbyte     virtual=289.703 Mbyte     
        1. constructing matrix                      : etime=00:00:01.3    ctime=00:00:02.9    rss= 53.934 Mbyte     virtual= 43.047 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 53.934 Mbyte     virtual= 43.047 Mbyte     
           2. 3d                                    : etime=00:00:00.8    ctime=00:00:02.4    rss= 53.934 Mbyte     virtual= 43.047 Mbyte     
           3. 2d                                    : etime=00:00:00.5    ctime=00:00:00.5    rss= 53.934 Mbyte     virtual= 43.047 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:01.3    ctime=00:00:03.2    rss=199.430 Mbyte     virtual=284.363 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=201.465 Mbyte     virtual=286.516 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.1    ctime=00:00:00.2    rss=203.809 Mbyte     virtual=288.629 Mbyte     
        5. error estimation                         : etime=00:00:00.1    ctime=00:00:00.3    rss=204.586 Mbyte     virtual=289.445 Mbyte     
     2. writing circuit results                     : etime=00:00:00.1    ctime=00:00:00.0    rss=205.559 Mbyte     virtual=289.754 Mbyte     
